Detections,X,Y,Energy Per Nucleon,Z,Height,True X,True Y,True Energy per nucleon,True Z,True Height,Phi,Epsilon,Theta,Guess Log Likelihood,Classifier,BDT
4,-33.928164124052785,17.27697146709056,250.04659845041795,26.0,19985.244447535802,-33.35083706959263,17.465370156261827,236.25846865387803,26,19741.104275752354,1.7438232166727166,2.0474279314205193,20.176539071633883,20.583112469068865,0.0,0.75360538643797348
4,4.815121551008701,3.146696062978492,388.879393701798,26.0,20012.244998537437,4.3277234941350855,0.3379319235220919,389.68463844860673,26,21381.522281559868,1.4167402458429141,2.4660247728851306,21.676145369536243,24.711945641798593,0.0,0.82071187448948812
4,-23.028592573697267,-8.023544248737267,1030.782766707226,25.0,23964.015418315044,-23.446275970153252,-8.785521393313218,993.0353276062319,26,24665.357149025538,1.822451163467086,4.430819509655461,27.930936913632422,25.170314868475316,1.0,0.35701920788198083
4,-17.600615827198965,-19.324637326325956,450.81110147847295,26.0,20670.69746983132,-18.5797274869779,-19.40896714904804,434.34284891758404,26,20871.470090081766,1.4309887291245211,4.620662774597764,23.035187847513043,22.785505121747974,0.0,0.82071187448948812
4,28.794331138473183,-18.160652825222996,336.0357552051762,27.0,21502.290990650814,31.388671861508044,-17.137274893829357,343.00526422401884,26,21498.43477241049,1.8850223833867916,4.799364063501689,21.557459708143142,24.823027916307154,1.0,0.8086614169562294
4,-18.0,17.0,903.8359489512204,26.0,20000.0,-16.91117710255503,16.799526454853833,912.9030647442328,26,19472.141644767846,1.4773545588156833,0.22284379505219584,22.70576330955646,23.210350849079987,0.0,0.82071187448948812
4,11.2645695173901,16.988946461112448,716.1683246298621,27.0,24417.543200441287,10.117857600212687,15.627585791811669,805.678475090776,26,24956.495431916108,1.3745239279021324,3.275824315435601,23.424888697756614,30.987397253606105,1.0,0.77955717961970517
4,12.142598014401301,12.104712985258175,979.3962208838133,26.0,24257.761108604205,12.773865143114449,13.141094998020975,970.8755913099066,26,23806.928761035855,1.4621227619815944,2.279945925230609,22.442133485946215,22.639326115037875,0.0,0.77955717961970517
4,-3.705153802468601,-4.120432593908788,284.0519156239683,26.0,21940.925688523355,-1.185955900916838,-2.6355970429198408,303.54734131635297,26,22633.363449095603,1.2703821112619669,6.193253436113797,21.666178316303103,24.65637040864158,0.0,0.82071187448948812
4,-7.97686585103213,1.0133045235986629,1678.4629016916217,25.0,17500.042741320645,-6.880342053538698,0.9923139423438272,1612.4646348683773,26,28526.51919245569,1.9546412592077964,4.199974902513056,23.534739841345072,25.528021439818986,1.0,0.52161242289962872
4,-1.6664215794630763,-20.240765138348138,560.6380124093477,26.0,24168.640467517966,-1.6696324622895133,-18.956611198903204,578.2028306426374,26,24552.965030363448,1.2942032473723395,0.7029974609773232,25.47340955885602,27.528928530098256,0.0,0.59169112833516069
4,-9.160743154636862,-4.25028813724407,362.01449762259045,26.0,21927.531466540975,-8.063897722980983,-3.8412565301291295,357.6076246204915,26,22489.12936169311,1.4288990039217913,0.057003912526740655,21.6122111026898,22.7469686720342,0.0,0.82071187448948812
4,21.77221914601637,3.768212079519458,1066.4796747706573,26.0,23489.822123985523,22.380674002405613,4.208518249728996,1039.806502336732,26,23099.335675888633,1.935156692267953,0.18559073959543998,23.50495129911451,23.601909861033164,0.0,0.8086614169562294
